repo,path,kind,category,systems,lines,local_import_count,local_imports,routes
mashos-api,ai/services/ai_inference/astor_deep_insight_store.py,runtime,astor_worker_store,national_system,395,0,,
mashos-api,ai/services/ai_inference/astor_friend_feed_enqueue.py,runtime,astor_worker_store,emotionlog_social|national_system,294,1,ai/services/ai_inference/astor_job_queue.py,
mashos-api,ai/services/ai_inference/astor_friend_feed_kernel.py,runtime,astor_worker_store,emotionlog_social|national_system,242,2,ai/services/ai_inference/astor_friend_feed_store.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_friend_feed_store.py,runtime,astor_worker_store,emotionlog_social|national_system,635,1,ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_global_summary_enqueue.py,runtime,astor_worker_store,national_system,291,2,ai/services/ai_inference/astor_global_summary_store.py | ai/services/ai_inference/astor_job_queue.py,
mashos-api,ai/services/ai_inference/astor_global_summary_kernel.py,runtime,astor_worker_store,national_system,270,2,ai/services/ai_inference/astor_global_summary_store.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_global_summary_store.py,runtime,astor_worker_store,national_system,640,1,ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_job_queue.py,runtime,astor_worker_store,national_system,387,1,ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_material_snapshots.py,runtime,astor_worker_store,national_system,2490,2,ai/services/ai_inference/astor_job_queue.py | ai/services/ai_inference/reflection_text_formatter.py,
mashos-api,ai/services/ai_inference/astor_myprofile_persona.py,runtime,astor_worker_store,national_system|self_structure,281,2,ai/services/ai_inference/astor_deep_insight_store.py | ai/services/ai_inference/astor_patterns.py,
mashos-api,ai/services/ai_inference/astor_myprofile_report.py,runtime,astor_worker_store,national_system|self_structure,3505,8,ai/services/ai_inference/astor_deep_insight_store.py | ai/services/ai_inference/astor_patterns.py | ai/services/ai_inference/generation_lock.py | ai/services/ai_inference/myprofile_section_text_templates.py | ai/services/ai_inference/structure_dict.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_myweb_insight.py,runtime,astor_worker_store,analysis_myweb|national_system,1054,2,ai/services/ai_inference/astor_patterns.py | ai/services/ai_inference/structure_dict.py,
mashos-api,ai/services/ai_inference/astor_patterns.py,runtime,astor_worker_store,national_system,424,0,,
mashos-api,ai/services/ai_inference/astor_ranking_boards.py,runtime,astor_worker_store,national_system|ranking,522,1,ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_ranking_enqueue.py,runtime,astor_worker_store,national_system|ranking,232,1,ai/services/ai_inference/astor_job_queue.py,
mashos-api,ai/services/ai_inference/astor_ranking_kernel.py,runtime,astor_worker_store,national_system|ranking,421,2,ai/services/ai_inference/astor_ranking_boards.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_reflection_engine.py,runtime,astor_worker_store,national_system|nexus_piece,1247,1,ai/services/ai_inference/generated_reflection_identity.py,
mashos-api,ai/services/ai_inference/astor_reflection_store.py,runtime,astor_worker_store,national_system|nexus_piece,1205,2,ai/services/ai_inference/generated_reflection_display.py | ai/services/ai_inference/generated_reflection_identity.py,
mashos-api,ai/services/ai_inference/astor_snapshot_enqueue.py,runtime,astor_worker_store,national_system,161,1,ai/services/ai_inference/astor_job_queue.py,
mashos-api,ai/services/ai_inference/astor_structure_matcher.py,runtime,astor_worker_store,national_system,183,0,,
mashos-api,ai/services/ai_inference/astor_worker.py,runtime,astor_worker_store,national_system,4550,23,ai/services/ai_inference/analysis_engine_adapter.py | ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/api_myweb_reports.py | ai/services/ai_inference/astor_account_status_kernel.py | ai/services/ai_inference/astor_account_status_store.py | ai/services/ai_inference/astor_friend_feed_kernel.py | ai/services/ai_inference/astor_friend_feed_store.py | ai/services/ai_inference/astor_global_summary_enqueue.py | ai/services/ai_inference/astor_global_summary_kernel.py | ai/services/ai_inference/astor_global_summary_store.py | ai/services/ai_inference/astor_job_queue.py | ai/services/ai_inference/astor_material_snapshots.py,
mashos-api,ai/services/ai_inference/client_compat.py,service,service_store_governance,,61,0,,
mashos-api,ai/services/ai_inference/cron_run_store.py,service,service_store_governance,,285,2,ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/observability.py,
mashos-api,ai/services/ai_inference/deep_insight_strategy.py,service,service_store_governance,,156,0,,
mashos-api,ai/services/ai_inference/emotion_reflection_generation_service.py,service,service_store_governance,nexus_piece,257,2,ai/services/ai_inference/generated_reflection_display.py | ai/services/ai_inference/generated_reflection_identity.py,
